survey_date,district,gvh,health_facility,sanitation_observed,sanitation_type,pit_cover_or_seal,sanitation_near_water,sanitation_distance,has_privacy,has_security,has_roof,shared_sanitation,child_faeces_disposal,child_faeces_disposal_other,usual_defecation_place,faeces_seen_in_village,faeces_around_house,handwash_near_sanitation,handwash_has_water,handwash_has_soap,handwash_in_use,mhm_materials_used,mhm_cleaned,mhm_cleaning_method,mhm_drying_method,mhm_disposal_place,has_bathroom,bathing_has_water,bathing_water_source,bathroom_has_soap,bathroom_in_use,bathroom_has_privacy,bathroom_has_security
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,Yes,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,More than 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,Yes,Yes,No,Yes,Reusable cloth or rags,Yes,Water and soap,NA,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),No,No,Less than 10 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),No,No,Between 10 and 20 paces,No,No,Yes,No,In a toilet/latrine,NA,NA,Yes,No,Yes,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Less than 10 paces,No,No,Yes,No,In a toilet/latrine,NA,NA,No,No,Yes,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),No,No,Between 10 and 20 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,No,No,Yes,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 20 and 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,Yes,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/1/2019,Dowa,Mduku,Mbingwa Health Centre,Yes,Pit latrine (without concrete slab),Yes,No,Between 10 and 20 paces,No,NA,No,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/1/2019,Dowa,Njole,Chizolowondo Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,No,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water only,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,Yes,Pit latrine (without concrete slab),No,No,More than 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,"Reusable cloth or rags, Disposable (tampons or pads)",Yes,Water and soap,Somewhere inside,In the toiler/latrine,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
